feature,score
CBLN1,19.704104545754582
PPIB,19.67012527517751
TPO,19.654445545926297
ST3GAL4,19.653679071351466
YBX1,19.645411357785566
PCDH10,19.59572116733694
CYB5B,19.582415082993943
ZNF259P1,19.57733371712363
FOXS1,19.54498500052287
MTURN,19.533799114859054
SOCS2,19.533423218416218
LINC01085,19.506729901768278
RGS18,19.500032103259795
CD200R1,19.493622577433253
TCEAL2,19.49317632035204
SGCA,19.451352989868305
TFDP1,19.424918454016808
ARF6,19.423351234604134
IRF2BP1,19.41846766374333
ACTR1B,19.41411832926894
OAZ1,19.403468712001548
SAP30L,19.39537380285195
SOX17,19.38608735144072
PHF10,19.384341083001885
ARRB2,19.38424809853891
SLC27A4,19.373243310964128
RGCC,19.362851370213896
CES2,19.316925092708434
MPV17,19.313624654149052
CTC-462L7.1,19.30636126807645
LOC101928583,19.303631525530072
CTNNB1,19.261007077096114
NKTR,19.256525952735693
GABARAPL1,19.24228004715378
AUP1,19.231129895641295
DEFB114,19.229641019496242
RALB,19.226603103202358
DNAJA4,19.221750650213963
CORO1C,19.220254757189895
IGFLR1,19.21328149400417
RP11-194N12.2,19.193700504341976
SERPINH1,19.185316324873835
DCTN2,19.167404663237505
ANKRD30B,19.149352583505447
LITAF,19.138230669860945
PSMC4,19.135938544720286
CD52,19.11100791302932
CLEC10A,19.101290281891586
LGALS1,19.097264986919104
YWHAE,19.075384806439338
LOC101928323,19.074192077774608
PSG4,19.07329470770659
PRCC,19.06200505954306
MINOS1-NBL1,19.05048944110322
EIF5A,19.043889485030935
HLA-DRB1,19.042684039899786
TCF15,19.026019586920526
TRMT10B,19.023305323202447
PPP4C,18.981426328529583
RNF167,18.974036930086516
NCL,18.943190833618758
TSC22D3,18.90840316847405
ZDHHC20,18.906972161274375
MRPL54,18.8991413369025
AGPS,18.888177469971865
NRN1,18.883205601703306
BTN3A1,18.875272205093818
SAR1B,18.867066058418157
EIF2S3,18.860914192931236
ORMDL2,18.850144963132063
MIR4784,18.83850126678457
FAM78A,18.83095999724588
CITED2,18.802539848986516
WBP11,18.7978775649665
CLEC4A,18.787049513035324
IMPA2,18.768609623735507
RP11-329B9.3,18.762703675613082
LOC101929747,18.71592245360171
HLA-DRA,18.713896224227504
NOTUM,18.712393989627543
KLHL12,18.684315769494106
AIP,18.673878376890595
B3GALTL,18.661328369326235
CRLS1,18.619791176429604
AGGF1,18.598945654202616
COPG1,18.576801618728553
BID,18.56695414409997
TFAP2D,18.54695141652418
MEA1,18.543174730428053
ARL6IP1,18.540070933826485
ROMO1,18.536084134075608
ZFHX3,18.515510600418587
LRP2,18.514941534563157
GIMAP4,18.507034617733602
CACNA2D1,18.506719810696524
RCC1,18.49119575959379
SLC25A33,18.484996573901682
PRM2,18.46749316219973
C11orf73,18.463133366250936
CD151,18.45730595484599
PSTPIP1,18.45350185319745
LOC101929225,18.442620243433286
CAV1,18.423085863681177
CTDP1,18.40527786972459
SERPINE1,18.396758469565086
HIRIP3,18.38639436117624
GUCY1B3,18.37984437924317
PYCARD,18.376738860810903
ADAMTS5,18.36849266908629
DNAJA2,18.347039559223834
HLA-DQB2,18.33768135057344
SIRT5,18.335190342412737
KLHL22,18.312441419337304
AOAH,18.292837018213977
LOC284112,18.27028442203428
RHOB,18.25186510571083
KLF3,18.24881107807005
ERF,18.239957302175448
C9orf16,18.23499127206854
NRAP,18.20059796717907
RAB3A,18.200474138103974
C1RL-AS1,18.18937460252632
ND3,18.189159968479146
ZC3H18,18.187928552670186
INO80,18.17040147921614
HAUS7,18.168667109582447
RNF166,18.15042818001456
LST1,18.147327086266078
CLDN3,18.11697313251824
SSNA1,18.096127735182506
