gene,score
LOC101929747,18.715922453602936
HLA-DRA,18.713896224229636
NOTUM,18.712393989632297
KLHL12,18.68431576949599
AIP,18.67387837689008
B3GALTL,18.661328369326515
CRLS1,18.61979117642662
AGGF1,18.598945654202545
COPG1,18.576801618730585
BID,18.566954144100347
TFAP2D,18.546951416524966
MEA1,18.543174730418137
ARL6IP1,18.54007093382537
ROMO1,18.53608413407632
ZFHX3,18.515510600420996
LRP2,18.51494153456299
GIMAP4,18.507034617732987
CACNA2D1,18.50671981069688
RCC1,18.491195759594273
SLC25A33,18.484996573902006
PRM2,18.4674931621989
C11orf73,18.46313336624787
CD151,18.457305954849588
PSTPIP1,18.453501853195718
LOC101929225,18.4426202434321
CAV1,18.423085863679198
CTDP1,18.405277869722013
SERPINE1,18.39675846956511
HIRIP3,18.386394361178695
GUCY1B3,18.379844379240932
PYCARD,18.376738860809304
ADAMTS5,18.368492669086134
DNAJA2,18.347039559221862
HLA-DQB2,18.337681350574567
SIRT5,18.335190342412705
KLHL22,18.312441419336956
AOAH,18.292837018215604
LOC284112,18.270284422033892
RHOB,18.251865105710852
KLF3,18.248811078070936
ERF,18.2399573021735
C9orf16,18.234991272072303
NRAP,18.200597967179416
RAB3A,18.200474138101875
C1RL-AS1,18.189374602525895
ND3,18.189159968485782
ZC3H18,18.18792855267308
INO80,18.170401479215744
HAUS7,18.168667109581307
RNF166,18.150428180016196
LST1,18.147327086265594
CLDN3,18.116973132518932
SSNA1,18.09612773518311
IDH3G,18.087419493349735
LAPTM5,18.079151519507587
SF3A2,18.075374013956296
MFGE8,18.043060800322642
FUBP1,18.030083780717458
FGF21,18.00963663085542
ZNF891,17.99947606973686
TPRA1,17.983355262498
RP11-357G3.1,17.939932287778543
OGG1,17.931048305534684
HSD17B1,17.916613226573528
CRLF1,17.898604854056664
FBXW5,17.89327849713875
TTBK2,17.892174292861995
SOCS4,17.878527648743386
SSR1,17.867431866222454
ACTR3P2,17.865332380264327
COX4I2,17.862135113769217
IL2RG,17.859127587094843
HIPK3,17.85379464933637
P2RY8,17.84841229451672
KCNH6,17.848026175068025
PSMB3,17.84289119967546
CPEB2,17.81921182790498
ZBTB46-AS1,17.79823390298297
STT3A,17.790239182648314
NCR3,17.7376782207017
NADK,17.72437836689158
CCDC148-AS1,17.7201747547513
STBD1,17.71524644853335
LOC101928409,17.70917363970769
PSMC3,17.706692708622196
TAGLN2,17.68925884392048
EZR,17.68879618841509
SLC6A6,17.683530497744446
ZNF780B,17.681635815660876
FFAR2,17.674177170028912
ZNF91,17.64156255923348
PGAM1,17.639075016856353
LOC100505555,17.597016249509164
ELMO1,17.589907565907524
PLB1,17.576118060405513
TUBB3,17.566522959305757
ODF2,17.55227383812561
SMU1,17.538726448300846
CCDC23,17.523357905216404
CDC42EP5,17.50935724574714
RAB1A,17.503342547391302
CALR,17.50028574314188
LCP1,17.496968659228646
DENND3,17.492362346954618
PQLC1,17.468544219382938
CNPY3,17.453392863595255
GAPDH,17.44766184112605
ZNF366,17.426715935473187
SFPQ,17.378400954222606
DEFA1,17.371926208321156
TMCC3,17.358060688638687
KIF23,17.355317901167258
NUDT4,17.35495196138231
CCDC82,17.335992063470048
BCKDK,17.329307014938962
DSTNP2,17.321533695130956
NF2,17.31323741126269
USP6NL,17.305407031181176
BICD2,17.303436930854478
SLC39A8,17.302116914254558
IL23A,17.290415937735776
LOC91450,17.28519011934517
RNF146,17.275308795900568
TCEA2,17.25949707323283
SPCS2,17.256175434006874
ADIPOR1,17.252673345168425
MALL,17.2320533812507
TUBB2A,17.225689082943205
RP11-338I21.1,17.225574786496363
LPXN,17.208316102763693
HELZ,17.202302000727144
WIF1,17.156493733128855
MGAM,17.139637671775166
RP11-999E24.3,17.137019978755706
KRTAP4-7,17.114073631837265
DPT,17.100797285798894
S100P,17.085216061870486
SNAI3,17.06925029826167
FAM198B,17.064199437545252
ANKUB1,17.05870881773588
XPR1,17.05535892729905
ABCA4,17.053793746876647
UROS,17.037867516982903
ANG,17.026138156430996
SAV1,17.02085715492429
LOC101926962,17.017802521704354
LOC101929239,17.012750797305976
PSMD3,16.99387859237586
FLJ31356,16.990374533604648
ATP1B4,16.98975696015332
RP11-102L12.2,16.9717425076864
CSF2RB,16.957126198962083
NCKAP1L,16.94273145457688
CENPB,16.926484721431205
FOLR2,16.85696823685995
PRORY,16.850586737084587
IFITM3,16.84562458593166
EFEMP2,16.841352347072966
FAM110C,16.828842778104356
IPW,16.818839155087957
CLK4,16.814753948282643
ACKR1,16.79228858098256
DDA1,16.78652149816572
IL12B,16.78147270036794
C1QB,16.78000310310694
ZNF471,16.778313006535345
SLC25A6,16.769750769772838
PTEN,16.76456468004298
MAGEA2,16.760547486529568
LINC01242,16.742960227032462
RP11-285A1.1,16.74142777949253
STK38,16.741029373286267
HIF1AN,16.721375011757985
PPP1R16A,16.718417665264383
CTSV,16.715945428038737
H3F3A,16.714695617885663
LGALS9,16.708225499523348
IGHV3-73,16.703388627608216
BANF1,16.701003272354242
MIF4GD,16.691523378327098
SLC25A20,16.69007893433768
SELT,16.689991043344122
PLEKHO1,16.681330935155472
BCL2L12,16.664406133253504
